server,port,short_name
10.44.199.12,443,10.44.199.12
10.44.199.32,443,10.44.199.32
10.44.219.21,443,10.44.219.21
10.44.219.31,443,10.44.219.31
10.44.241.15,443,10.44.241.15
10.44.251.26,443,10.44.251.26
10.44.251.48,443,10.44.251.48
10.44.251.58,443,kare-nmx-dr
10.44.47.60,443,10.44.47.60
10.44.47.65,443,10.44.47.65
10.45.0.173,443,wtlv-camiov01
10.45.0.193,443,wtlv-bces01
10.45.0.194,443,wtlv-bcoasis01
10.45.0.197,443,wtlv-bcencode01
10.45.0.198,443,wtlv-bcencode02
10.45.0.33,443,wtlv-enpsmobile
10.45.1.109,443,10.45.1.109
10.45.1.12,443,wtlv-news_arch
10.45.104.23,443,wmaz-bcplay01
10.45.104.24,443,wmaz-bcplay02
10.45.104.25,443,wmaz-bcencode01
10.45.104.26,443,wmaz-bcencode02
10.45.104.27,443,wmaz-bcoasis01
10.45.104.28,443,wmaz-bces01
10.45.104.33,443,wmaz-enpsmobile
10.45.11.30,443,10.45.11.30
10.45.112.144,443,wtsp-bces01
10.45.112.153,443,wtsp-bcoasis01
10.45.112.180,443,wtsp-bcplay02
10.45.112.189,443,wtsp-bcencode01
10.45.112.190,443,wtsp-bcencode02
10.45.112.9,443,wtsp-enpsweb
10.45.136.10,443,kare-nas02
10.45.136.150,443,kare-sccm01
10.45.136.239,443,kare-enpsmob
10.45.136.42,443,kare-bcoasis31
10.45.136.43,443,kare-bces01
10.45.144.51,443,wlbz-bces01
10.45.144.52,443,wlbz-bcmedia01
10.45.16.115,443,wxia-camio-pri
10.45.16.15,443,wxia-enpsweb9
10.45.16.21,443,wxia-bcdb21
10.45.16.41,443,wxia-bces01
10.45.16.51,443,wxia-bcoasis01
10.45.16.52,443,wxia-bcoasis21
10.45.16.92,443,wxia-bcencode1
10.45.16.95,443,wxia-bcencode2
10.45.162.155,443,kfsm-mediaproxy
10.45.162.59,443,kfsm-service01
10.45.162.61,443,kfsm-bccs01
10.45.162.62,443,kfsm-oasis01
10.45.162.63,443,kfsm-mp01
10.45.162.64,443,kfsm-mp02
10.45.162.71,443,kfsm-camio
10.45.163.40,443,kfsm-lclsccm01
10.45.168.144,443,wwl-mediaproxy
10.45.168.165,443,wwl-chy-camio
10.45.168.202,443,wwl-bcpta002
10.45.168.211,443,wwl-bcenc001
10.45.168.212,443,wwl-bcenc002
10.45.168.220,443,wwl-bccon001
10.45.168.51,443,wwl-bcoasis01
10.45.176.60,443,krem-bces02
10.45.176.61,443,krem-bcoasis02
10.45.176.62,443,krem-bcmedia01
10.45.176.63,443,krem-bcmedia02
10.45.187.75,443,wnep-sccmdp01
10.45.188.11,443,wnep-bccs01
10.45.188.12,443,wnep-oasis01
10.45.188.13,443,wnep-mp01
10.45.188.14,443,wnep-mp02
10.45.188.20,443,10.45.188.20
10.45.188.21,443,wnep-camio
10.45.188.33,443,wnep-enpsmobile
10.45.188.35,443,wnep-ross-ods01
10.45.188.36,443,wnep-ross-ods02
10.45.194.198,443,10.45.194.198
10.45.194.212,443,10.45.194.212
10.45.194.22,443,10.45.194.22
10.45.195.111,443,watn-camio
10.45.195.71,443,watn-enpsmob01
10.45.195.73,443,watn-lclsccm02
10.45.196.102,443,watn-bces01
10.45.196.103,443,watn-bcoasis01
10.45.196.105,443,watn-bcplay02
10.45.196.106,443,watn-bcencode01
10.45.202.72,443,woi-lclsccm01
10.45.204.54,443,woi-bccs02
10.45.204.55,443,woi-oas01
10.45.204.56,443,woi-bccs01
10.45.204.58,443,woi-bcmp02
10.45.218.198,443,wthr-buaas01-rm
10.45.218.60,443,wthr-sccmdp01
10.45.24.140,443,kpnx-camio-01
10.45.24.21,443,kpnx-bccs01
10.45.24.22,443,kpnx-oasis01
10.45.24.23,443,kpnx-bcmpt01
10.45.24.24,443,kpnx-bcmpt02
10.45.24.34,443,kpnx-enpsweb01
10.45.24.52,443,kpnx-emerald01
10.45.32.143,443,kthv-bces01
10.45.32.152,443,kthv-bcoasis01
10.45.32.175,443,kthv-camio01
10.45.32.183,443,kthv-bcmedia01
10.45.32.193,443,kthv-eme001
10.45.32.35,443,kthv-enpsmob
10.45.35.115,443,kthv-security01
10.45.40.115,443,kusa-bces01
10.45.40.117,443,kusa-bcoasis01
10.45.40.118,443,kusa-bcencode01
10.45.40.120,443,kusa-bcmedia01
10.45.40.121,443,kusa-bcplay02
10.45.40.125,443,kusa-store01
10.45.40.213,443,10.45.40.213
